a_age,a_maritl,a_sex,a_fnlwgt,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,pesa1,cpsyear,iid,bdm1900,yob,black,orace,cdiv,coll,hs
39,1,2,384411,991,381,82,1038,86,1,1086,90,0,0,0,1,1990,90020160,610,50,0,0,5,1,0
28,1,2,303475,978,228,81,1004,83,0,985,82,1,1,0,2,1990,90020160,750,62,0,0,5,0,0
46,1,2,354185,786,261,65,801,66,1,1086,90,0,0,0,3,1990,90020160,525,43,0,0,5,1,0
55,4,2,352216,601,183,50,664,55,1,879,73,0,0,1,7,1990,90020160,418,34,1,0,5,0,1
32,5,2,283229,884,183,73,891,74,1,1017,84,1,1,0,1,1990,90020160,701,58,0,0,5,0,1
32,1,2,434358,955,254,79,1041,86,0,1086,90,0,0,0,1,1990,90020160,701,58,0,0,5,0,1
25,1,2,421376,982,207,81,979,81,1,1086,90,0,0,0,1,1990,90020160,775,64,1,0,5,0,1
49,1,2,304723,694,203,57,721,60,1,1086,90,0,0,0,4,1990,90020160,491,40,0,0,5,0,0
55,1,2,535649,607,184,50,619,51,0,742,61,1,1,0,2,1990,90020168,423,35,0,0,5,0,1
56,1,2,313284,618,209,51,646,53,1,1086,90,0,0,0,1,1990,90020168,409,34,0,0,5,0,0
36,5,2,320064,1042,396,86,,,,1074,89,1,1,0,0,1990,90020168,646,53,0,0,5,0,1
36,1,2,328319,982,332,81,1020,84,1,1086,90,0,0,0,1,1990,90020168,650,54,0,0,5,0,1
34,5,2,442264,873,195,72,893,74,0,1062,88,1,1,0,2,1990,90020168,678,56,1,0,5,0,0
32,5,2,394377,947,253,78,934,77,1,979,81,1,1,0,7,1990,90020168,694,57,1,0,5,0,1
39,1,2,326321,864,246,71,887,73,1,1086,90,0,0,0,2,1990,90020168,618,51,0,0,5,0,1
43,1,2,335169,796,230,66,,,,1086,90,0,0,0,0,1990,90020176,566,47,0,0,5,0,1
